# Benchmark Sum function (n = 134,218,962)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	Work assisting (our)
1	0.9733294	0.96390754	1.0023774	1.0077263	1.0192537	0.9971322	0.9942771
2	1.8171833	1.8257798	1.9797708	2.0061584	2.0295944	1.983121	1.972457
3	2.5096967	2.635677	2.9313378	2.993338	3.0338268	2.9486637	2.9298
4	3.3645356	3.377972	3.8181057	3.8437152	4.0186515	3.9169476	3.8061035
6	4.5445805	4.6941886	4.483374	5.2752666	5.8902187	5.830913	5.4244423
8	5.874349	5.8031516	6.474753	7.2462363	7.8385515	7.7069707	7.3519526
10	6.8832316	7.190351	9.286815	9.4791975	9.571709	9.473454	9.205275
12	7.113711	9.676468	11.194861	10.846735	11.098825	10.997127	11.1695
14	7.689861	9.2817745	11.3958025	12.693014	12.974988	13.109253	12.545204
16	8.931991	9.456267	13.836072	13.304937	14.862637	14.916921	13.820349
20	9.911834	10.033035	10.17726	14.434182	11.588117	15.6806965	14.832828
24	11.472486	11.064717	12.375	15.122606	13.389572	17.095304	15.255819
28	14.220767	12.5231	14.158957	15.552361	15.37065	18.738342	16.00304
32	15.469712	16.246275	16.731543	16.024595	19.474485	20.178902	16.421772
