# Benchmark Sum array (n = 536,872,146)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	Work assisting (our)
1	1.1084752	0.9954585	1.1046289	1.082967	1.3176459	1.3907901	1.1814067
2	1.9611578	1.7916375	2.0046978	2.0094626	2.3492746	2.4094052	2.1376355
3	2.551153	2.6142428	2.9058785	2.8591816	3.0670664	3.3197787	2.9962733
4	3.370895	3.2338934	3.5468898	3.3540769	3.6129503	3.6622841	3.3257117
6	4.086552	4.552466	4.943662	4.530072	5.154872	5.402502	4.2774744
8	5.5122995	5.5874634	5.8414264	5.613179	5.6984153	6.344235	5.4545813
10	5.6306014	6.06947	5.2196407	5.9977736	5.2161713	6.342229	6.0138597
12	6.1971025	6.36942	5.266086	6.1423783	5.4993677	6.34312	6.1593556
14	6.1726255	6.027516	6.0780535	6.4053583	5.9983716	6.38813	6.3848534
16	6.240488	6.232946	6.4124126	6.4250803	6.2364993	6.399227	6.354956
20	6.2667036	6.232516	4.896391	6.368072	5.519463	6.297202	6.3150473
24	6.232516	6.205518	5.161505	6.2672477	5.50759	6.252269	6.1934876
28	6.143946	6.258664	5.8460617	6.249022	5.856874	6.2181306	6.1600914
32	6.0549126	5.926292	5.870398	5.4984465	6.044572	6.1144967	5.276708
