# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Our	Our (specialized loop)
1	0.9701257	0.7016016	0.75822395	0.74510384
2	1.8213376	1.4051992	1.4806745	1.4591259
3	2.5002263	1.9867243	2.1311867	2.0913534
4	3.0874536	2.6256697	2.7707953	2.7389443
6	4.051614	3.6013277	4.014934	3.9236681
8	4.738205	4.6133637	5.0775533	4.947317
10	5.370161	5.51343	6.2411914	6.0156436
12	5.7076564	6.1884294	7.1682396	7.1120214
14	5.7815204	6.935845	8.189513	8.022976
16	5.9062896	7.5843215	8.961357	8.887946
20	5.2395654	7.9194474	9.459443	9.441803
24	4.8405037	8.29574	9.968499	10.059272
28	4.0231757	8.486939	10.3189535	10.221736
32	3.4980712	8.56591	6.2857437	10.238962
