# Benchmark Sort (n = 67,108,864)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Our	Our (specialized loop)
1	0.94048375	0.5611962	0.6461885	0.6427263
2	1.787454	1.0981119	1.2701582	1.2638838
3	2.5364673	1.6070129	1.8668913	1.8531967
4	3.2315662	2.1237726	2.4770956	2.4595525
6	4.454344	3.070774	3.6603944	3.6363695
8	5.3322396	3.9755325	4.81064	4.7805233
10	5.988142	4.8693476	5.9533443	5.904926
12	6.4794393	5.635955	7.0450106	7.0125933
14	6.8555727	6.4173517	8.118331	8.07884
16	7.1212783	7.1601367	9.195751	9.150237
20	6.2575145	8.101863	10.284269	10.320908
24	5.6721716	8.908758	11.366456	11.4061575
28	5.3410172	9.807192	12.382991	12.46569
32	4.8634276	10.156102	13.312304	13.13084
